state,Asian,Black,Hispanic,Native American,Pacific Islander,Unknown race,White,Total
AK,0.0,0.0,0.0,1.83759348756868,8.028904054596547,0.0,0.23710279354511354,0.5454116562652118
AL,0.0,0.46578100995296384,0.37872045507049884,0.0,0.0,0.0,0.2522584223569072,0.298550299455902
AR,1.9527436047646947,1.3336771256590587,0.0,0.0,0.0,1.932939872683694,0.24230088924426352,0.4980866830216196
AZ,0.0,1.2611891121543948,0.4561517306624737,0.3788883416057288,0.0,1.0051901317134135,0.13100847441417596,0.32161076092826374
CA,0.05017733506500892,0.4718570310944346,0.21181474400070038,0.6406765544414902,0.7237618244588071,0.6480702897036212,0.14583012962767306,0.20233585105734264
CO,0.0,0.9037097284352266,0.3166084898566555,2.961383558398484,0.0,1.0332072820449238,0.4254568941699907,0.45031672853903054
CT,0.0,0.277056660857712,0.16043818878119923,0.0,0.0,0.0,0.0,0.05546397836461132
DC,0.0,0.3545269546843647,0.0,0.0,0.0,0.0,0.0,0.1450231674510003
DE,0.0,0.46957175056348616,0.0,0.0,0.0,0.0,0.34491619398776585,0.3030462206095674
FL,0.0,0.44770601832013024,0.03510471737192044,0.0,0.0,0.10751809529543821,0.11711181015851263,0.13928748970375268
GA,0.0,0.6406112773819377,0.0,0.0,0.0,0.6726155777767814,0.22379057975933564,0.33607458167116444
HI,0.18812622517204142,0.0,0.0,0.0,1.3417955908596884,0.0,0.0,0.20614717121415874
IA,0.0,0.7732696159169817,0.0,0.0,0.0,0.0,0.2274277054705081,0.2194103566076526
ID,0.0,6.763611768684478,0.41769873061355767,0.0,0.0,1.1621015444329525,0.34470325530860246,0.43499395902139404
IL,0.0,0.3379116608808681,0.1711295835989407,0.0,0.0,0.21742202702555793,0.0,0.08585360493043204
IN,0.0,1.2549019607843137,0.0,0.0,0.0,0.6885084497199492,0.1562193663586281,0.2652704402664023
KS,0.0,0.6121749351094569,0.2613675271756886,0.0,0.0,0.0,0.14133776191654004,0.17019074979236729
KY,0.0,0.559027738956407,0.0,0.0,0.0,2.1044988925074577,0.32744264023549674,0.3994819163413848
LA,0.0,0.48195425565607747,0.0,0.0,0.0,0.0,0.26957271184756665,0.3005738599072472
MA,0.19805902158843336,0.0,0.11265257382968058,0.0,0.0,0.0,0.0,0.028449838027959647
MD,0.0,0.16712840531089504,0.27406833894031474,0.0,0.0,0.0,0.034319657407451895,0.09713100900987238
ME,0.0,0.0,0.0,0.0,0.0,0.0,0.08141572170152345,0.07340209151919574
MI,0.6018875192604006,0.22083862732598286,0.0,0.0,0.0,0.6295868021817281,0.05482718403059576,0.11907914903261589
MN,0.3361796544073153,0.5091001654575538,0.28931836592986926,3.50594257266066,0.0,0.0,0.09187207731954028,0.17523894706627222
MO,0.0,0.8660833114406717,0.3299589531062336,0.0,0.0,1.211324674380786,0.25729501038506986,0.3736852169965684
MS,0.0,0.18535664007725663,0.0,0.0,0.0,2.2070183182520418,0.30504973225785,0.3039227306849506
MT,0.0,19.696671262556627,0.0,3.0963586821897446,0.0,0.0,0.2218972660037856,0.4611588922963407
NC,0.0,0.33214299610064124,0.0,0.0,0.0,0.0,0.11089727300437188,0.13410747833110523
ND,0.0,0.0,0.0,2.677376171352075,0.0,0.0,0.15719315895372232,0.25670843312873676
NE,0.0,1.059265928711403,0.0,0.0,0.0,0.0,0.0,0.05098128782811556
NH,0.0,0.0,0.0,0.0,0.0,0.0,0.1665765765015421,0.1451875060343557
NJ,0.0,0.17328890205884545,0.0,0.0,0.0,0.2779128743139026,0.0,0.03229628525973857
NM,0.0,2.6089225150013045,0.6925132393691799,0.0,0.0,0.0,0.38812241898591376,0.5194751223363913
NV,0.0,1.3700506918755995,0.5616355726492462,0.0,0.0,0.5432066575407949,0.21038576333565223,0.4187316039932823
NY,0.0,0.1812236364914814,0.025329075346907017,0.0,0.0,0.0,0.028304805391725772,0.04455170073889986
OH,0.3371498698601502,0.2745028067911994,0.0,0.0,0.0,0.5486677432747051,0.08934419684313448,0.13559956364060421
